"","","","","","#A011000","#A0110001","#A0110002","#A01101","#A01201","#A01202","#A01401","#A01402","#A02101","#A02102","#A02103","#A02104","#A03401","#A03402","#A03403","#A03404","#A0430701","#A0430702","#A0440501","#A0440502","#A0440601","#A0440602","#A05204","#A0520401","#A0520402","#A05205","#A05218","#A0521901","#A0521902","#A05301","#A05302","#A05303","#A05304","#A05305","#A06601","#A06602"
"調査年 コード","調査年","地域 コード","地域","/Ａ　人口・世帯","#A011000_総人口【万人】","#A0110001_総人口（男）【万人】","#A0110002_総人口（女）【万人】","#A01101_全国総人口に占める人口割合【％】","#A01201_総面積１km2当たり人口密度【人】","#A01202_可住地面積１km2当たり人口密度【人】","#A01401_人口集中地区人口比率【％】","#A01402_人口集中地区面積比率【％】","#A02101_人口性比（総数）【‐】","#A02102_人口性比（15歳未満人口）【‐】","#A02103_人口性比（15～64歳人口）【‐】","#A02104_人口性比（65歳以上人口）【‐】","#A03401_年少人口指数【‐】","#A03402_老年人口指数【‐】","#A03403_従属人口指数【‐】","#A03404_老年化指数【‐】","#A0430701_死別者割合（60歳以上・男）【％】","#A0430702_死別者割合（60歳以上・女）【％】","#A0440501_離別者割合（40～49歳・男）【％】","#A0440502_離別者割合（40～49歳・女）【％】","#A0440601_離別者割合（50～59歳・男）【％】","#A0440602_離別者割合（50～59歳・女）【％】","#A05204_粗死亡率（人口千人当たり）【‐】","#A0520401_粗死亡率（男）（人口千人当たり）【‐】","#A0520402_粗死亡率（女）（人口千人当たり）【‐】","#A05205_年齢別死亡率（0～4歳）（人口千人当たり）【‐】","#A05218_年齢別死亡率（65歳以上）（人口千人当たり）【‐】","#A0521901_年齢調整死亡率（男）（人口千人当たり）【‐】","#A0521902_年齢調整死亡率（女）（人口千人当たり）【‐】","#A05301_転入超過率（日本人移動者）【％】","#A05302_転入率（日本人移動者）【％】","#A05303_転出率（日本人移動者）【％】","#A05304_流入人口比率【％】","#A05305_流出人口比率【％】","#A06601_婚姻率（人口千人当たり）【‐】","#A06602_離婚率（人口千人当たり）【‐】"
"1975100000","1975年度","32000","島根県","","77","37","40","0.69","116.0","578.7","21.8","2.4","91.3","105.0","90.0","77.1","33.3","19.0","52.3","57.0","18.1","55.6","1.2","2.2","1.1","2.9","9.36","10.45","8.37","2.50","54.49","10.25","6.62","-0.29","2.81","3.11","0.44","0.84","6.48","0.65"
"1975100000","1975年度","33000","岡山県","","181","88","94","1.62","256.3","831.7","30.9","5.0","93.8","105.8","92.6","78.1","34.6","16.1","50.7","46.4","15.6","52.5","1.6","3.4","1.6","3.8","7.64","8.43","6.90","2.48","51.10","9.78","6.50","0.07","2.83","2.76","0.47","1.00","7.72","1.00"
"1975100000","1975年度","34000","広島県","","265","130","135","2.36","313.0","1,204.0","55.9","9.6","96.1","105.0","96.0","75.9","35.6","13.2","48.9","37.1","14.7","56.0","1.9","3.5","1.8","3.8","6.82","7.43","6.24","2.59","51.38","9.94","6.59","-0.06","3.06","3.12","1.04","0.45","8.32","1.05"
"1975100000","1975年度","35000","山口県","","156","74","81","1.39","255.1","900.1","41.5","8.2","91.7","104.8","90.1","75.9","34.2","15.2","49.3","44.4","14.6","57.2","1.8","3.7","1.8","3.8","7.68","8.73","6.71","2.73","51.99","10.42","6.54","-0.15","3.02","3.17","0.63","1.26","7.65","1.15"
"1975100000","1975年度","36000","徳島県","","81","38","42","0.72","194.3","788.8","24.9","3.4","91.5","104.4","90.0","77.8","32.8","16.0","48.8","48.7","19.6","55.2","1.4","3.2","1.3","3.3","8.71","9.43","8.05","3.05","56.27","10.70","7.55","-0.38","2.49","2.86","0.19","0.51","7.68","1.03"
"1975100000","1975年度","37000","香川県","","96","46","50","0.86","511.5","985.4","30.9","5.2","92.3","105.6","90.8","76.7","33.1","15.7","48.8","47.4","16.2","54.8","1.5","3.8","1.3","3.9","7.61","8.37","6.90","3.49","50.17","9.71","6.43","0.03","3.21","3.18","0.38","0.54","7.55","1.03"
"1975100000","1975年度","38000","愛媛県","","147","70","77","1.31","258.7","859.2","38.3","5.8","90.9","104.6","88.7","77.6","35.5","15.7","51.2","44.3","15.2","54.0","1.5","3.8","1.5","4.1","7.95","8.96","7.04","3.01","52.13","10.25","6.71","-0.18","2.52","2.70","0.29","0.34","7.73","1.20"
"1975100000","1975年度","39000","高知県","","81","38","42","0.72","113.8","630.3","35.7","3.1","90.3","105.2","88.9","74.9","32.3","18.4","50.7","57.1","16.4","54.8","2.6","5.0","2.5","5.5","9.66","10.75","8.67","3.14","55.80","10.91","6.95","0.04","2.57","2.53","0.11","0.14","7.16","1.45"
"1975100000","1975年度","40000","福岡県","","429","207","222","3.84","867.9","1,555.3","58.6","13.9","93.1","105.4","91.7","74.1","34.2","12.1","46.3","35.4","13.6","55.3","2.1","4.8","2.2","4.8","6.42","7.29","5.61","2.24","50.44","10.53","6.50","0.52","3.48","2.96","1.09","0.55","8.60","1.32"
"1975100000","1975年度","41000","佐賀県","","84","39","44","0.75","346.5","614.5","24.5","2.7","89.1","104.8","86.6","73.1","37.1","16.5","53.6","44.5","14.7","55.7","1.2","3.3","1.0","3.2","8.03","8.93","7.23","2.89","51.67","10.40","6.76","-0.34","3.21","3.55","1.33","2.68","7.27","0.90"
"1975100000","1975年度","42000","長崎県","","157","75","82","1.40","383.2","912.5","38.5","4.4","91.3","104.2","89.6","72.9","39.6","14.6","54.2","36.8","14.8","56.7","1.5","3.3","1.5","3.7","7.57","8.48","6.74","2.64","53.94","11.07","6.97","-0.50","3.12","3.62","0.27","0.23","7.64","1.10"
"1975100000","1975年度","43000","熊本県","","172","81","91","1.53","231.8","606.7","31.9","3.1","89.5","104.4","87.3","74.2","35.0","16.1","51.1","46.0","14.7","54.9","1.2","3.4","1.1","3.5","8.09","9.00","7.26","3.43","53.25","10.35","6.76","-0.10","3.26","3.36","0.29","0.85","7.15","0.86"
"1975100000","1975年度","44000","大分県","","119","56","63","1.06","188.0","656.1","34.6","3.8","89.4","104.8","86.5","77.4","34.8","15.9","50.7","45.8","15.8","56.0","1.3","3.7","1.2","3.7","8.28","9.49","7.21","2.98","54.12","10.81","6.90","-0.01","3.36","3.37","0.50","0.55","7.69","1.02"
"1975100000","1975年度","45000","宮崎県","","109","52","57","0.97","140.3","587.5","30.8","3.4","90.4","104.5","87.9","75.9","37.1","14.4","51.5","38.7","15.1","54.7","1.4","3.8","1.3","3.8","7.62","8.77","6.57","3.09","53.03","10.93","6.83","0.09","3.73","3.65","0.24","0.18","7.89","1.21"
"1975100000","1975年度","46000","鹿児島県","","172","80","92","1.54","188.3","522.2","30.6","2.3","87.5","104.1","85.3","70.0","36.8","17.8","54.6","48.5","15.0","55.6","1.2","3.4","1.3","3.9","8.94","9.90","8.09","3.45","53.94","10.82","6.86","-0.26","3.78","4.04","0.13","0.17","6.67","0.95"
"1975100000","1975年度","47000","沖縄県","","104","51","53","0.93","464.2","792.1","50.7","4.3","96.0","103.7","97.5","58.4","50.9","11.3","62.2","22.2","15.8","60.1","2.3","7.8","2.4","6.6","5.44","5.67","5.21","3.21","47.70","9.57","5.67","0.38","2.95","2.57","0.01","0.00","8.85","1.29"
