"","","","","","#A011000","#A0110001","#A0110002","#A01101","#A01201","#A01202","#A0191001","#A0191002","#A0191003","#A0191004","#A0191005","#A0191006","#A02101","#A02102","#A02103","#A02104","#A03401","#A03402","#A03403","#A03404","#A03501","#A03502","#A03503","#A05101","#A05201","#A05202","#A05203","#A05204","#A0520401","#A0520402","#A05205","#A05218","#A05301","#A05302","#A05303","#A05307","#A05308","#A05309","#A06601","#A06602"
"調査年 コード","調査年","地域 コード","地域","/Ａ　人口・世帯","#A011000_総人口【万人】","#A0110001_総人口（男）【万人】","#A0110002_総人口（女）【万人】","#A01101_全国総人口に占める人口割合【％】","#A01201_総面積１km2当たり人口密度【人】","#A01202_可住地面積１km2当たり人口密度【人】","#A0191001_将来推計人口（2020年）【人】","#A0191002_将来推計人口（2025年）【人】","#A0191003_将来推計人口（2030年）【人】","#A0191004_将来推計人口（2035年）【人】","#A0191005_将来推計人口（2040年）【人】","#A0191006_将来推計人口（2045年）【人】","#A02101_人口性比（総数）【‐】","#A02102_人口性比（15歳未満人口）【‐】","#A02103_人口性比（15～64歳人口）【‐】","#A02104_人口性比（65歳以上人口）【‐】","#A03401_年少人口指数【‐】","#A03402_老年人口指数【‐】","#A03403_従属人口指数【‐】","#A03404_老年化指数【‐】","#A03501_15歳未満人口割合【％】","#A03502_15～64歳人口割合【％】","#A03503_65歳以上人口割合【％】","#A05101_人口増減率【％】","#A05201_自然増減率【％】","#A05202_粗出生率（人口千人当たり）【‐】","#A05203_合計特殊出生率【‐】","#A05204_粗死亡率（人口千人当たり）【‐】","#A0520401_粗死亡率（男）（人口千人当たり）【‐】","#A0520402_粗死亡率（女）（人口千人当たり）【‐】","#A05205_年齢別死亡率（0～4歳）（人口千人当たり）【‐】","#A05218_年齢別死亡率（65歳以上）（人口千人当たり）【‐】","#A05301_転入超過率（日本人移動者）【％】","#A05302_転入率（日本人移動者）【％】","#A05303_転出率（日本人移動者）【％】","#A05307_転入超過率（外国人含む）【％】","#A05308_転入率（外国人含む）【％】","#A05309_転出率（外国人含む）【％】","#A06601_婚姻率（人口千人当たり）【‐】","#A06602_離婚率（人口千人当たり）【‐】"
"2017100000","2017年度","20000","長野県","","208","101","106","1.64","153.1","643.6","2,033,235","1,957,953","1,877,667","1,793,174","1,704,857","1,614,511","95.1","104.7","103.8","77.7","22.2","55.3","77.6","248.8","12.5","56.3","31.1","-0.57","-0.54","6.99","1.56","12.36","12.61","12.13","0.34","36.66","-0.13","1.24","1.37","-0.12","1.37","1.49","4.32","1.55"
"2017100000","2017年度","21000","岐阜県","","201","97","104","1.58","189.1","908.1","1,972,964","1,901,131","1,820,918","1,735,195","1,645,898","1,556,529","94.0","104.8","100.5","78.5","22.2","50.7","73.0","228.3","12.9","57.8","29.3","-0.69","-0.44","6.99","1.51","11.44","12.11","10.80","0.51","35.67","-0.29","1.24","1.53","-0.37","1.46","1.84","4.18","1.48"
"2017100000","2017年度","22000","静岡県","","368","181","187","2.90","472.5","1,336.6","3,615,586","3,506,064","3,380,104","3,241,803","3,094,264","2,942,865","97.0","105.3","105.5","79.1","21.7","49.9","71.5","230.4","12.6","58.3","29.1","-0.35","-0.40","7.15","1.52","11.18","11.71","10.66","0.47","34.94","-0.14","1.36","1.51","-0.11","1.56","1.67","4.51","1.63"
"2017100000","2017年度","23000","愛知県","","753","376","376","5.94","1,454.7","2,518.2","7,505,224","7,455,615","7,359,302","7,227,958","7,070,766","6,899,465","100.1","105.1","107.8","80.7","21.7","39.7","61.4","183.4","13.4","62.0","24.6","0.24","-0.06","8.30","1.54","8.93","9.55","8.31","0.44","32.58","0.06","1.47","1.41","0.08","1.69","1.61","5.33","1.66"
"2017100000","2017年度","24000","三重県","","180","88","92","1.42","311.7","874.1","1,768,098","1,709,820","1,645,050","1,575,867","1,503,635","1,430,804","95.0","105.5","102.9","77.6","21.5","49.7","71.2","231.0","12.6","58.4","29.0","-0.44","-0.44","7.04","1.49","11.41","11.94","10.90","0.35","35.89","-0.23","1.42","1.65","-0.15","1.76","1.90","4.41","1.55"
"2017100000","2017年度","25000","滋賀県","","141","70","72","1.12","351.7","1,080.9","1,409,153","1,394,593","1,371,841","1,341,440","1,304,201","1,262,924","97.3","105.2","103.6","80.3","23.4","41.7","65.1","178.5","14.1","60.6","25.3","0.00","-0.11","8.21","1.54","9.26","9.56","8.97","0.50","33.44","-0.05","1.76","1.81","-0.04","1.98","2.02","4.66","1.56"
"2017100000","2017年度","26000","京都府","","260","124","136","2.05","563.5","2,214.1","2,573,772","2,509,875","2,430,849","2,338,843","2,238,226","2,136,807","91.5","105.3","98.0","75.0","19.9","48.0","67.9","241.2","11.9","59.6","28.6","-0.23","-0.30","7.13","1.31","10.17","10.70","9.68","0.44","32.49","-0.06","2.06","2.12","-0.05","2.23","2.28","4.57","1.58"
"2017100000","2017年度","27000","大阪府","","882","424","458","6.96","4,631.2","6,630.9","8,732,289","8,526,202","8,262,029","7,962,983","7,649,229","7,335,352","92.5","104.6","98.2","76.7","20.0","44.8","64.7","224.4","12.1","60.7","27.2","-0.11","-0.23","7.55","1.35","9.87","10.95","8.87","0.53","32.54","0.03","1.73","1.70","0.01","1.86","1.85","5.15","1.92"
"2017100000","2017年度","28000","兵庫県","","550","262","288","4.34","655.0","1,977.4","5,443,224","5,306,083","5,139,095","4,948,778","4,742,647","4,532,499","91.1","105.0","96.3","76.2","21.3","47.9","69.2","225.1","12.6","59.1","28.3","-0.31","-0.27","7.56","1.47","10.28","11.09","9.54","0.43","32.87","-0.12","1.55","1.67","-0.11","1.68","1.79","4.63","1.66"
"2017100000","2017年度","29000","奈良県","","135","64","71","1.06","365.2","1,575.6","1,320,075","1,264,574","1,202,479","1,135,578","1,066,267","998,076","89.2","103.8","93.0","77.4","21.0","52.6","73.6","250.3","12.1","57.6","30.3","-0.59","-0.41","6.65","1.33","10.75","11.57","10.03","0.67","32.39","-0.26","1.72","1.97","-0.26","1.81","2.07","4.07","1.52"
"2017100000","2017年度","30000","和歌山県","","95","44","50","0.75","200.0","847.5","921,152","875,553","829,087","781,816","734,325","688,031","88.6","103.6","95.9","72.7","21.2","57.5","78.6","271.4","11.8","55.9","32.2","-0.94","-0.67","6.84","1.52","13.52","14.28","12.84","0.47","38.43","-0.37","1.13","1.50","-0.35","1.21","1.56","4.28","1.81"
"2017100000","2017年度","31000","鳥取県","","57","27","30","0.45","161.1","627.2","556,367","536,747","516,255","494,893","472,156","448,529","91.5","105.7","101.3","71.6","22.6","55.0","77.7","243.1","12.7","56.3","31.0","-0.88","-0.57","7.63","1.66","13.34","13.69","13.02","0.41","39.26","-0.26","1.51","1.77","-0.24","1.58","1.83","4.27","1.58"
"2017100000","2017年度","32000","島根県","","69","33","36","0.54","102.1","527.4","669,797","642,787","615,424","587,556","558,290","528,988","93.0","104.9","104.4","72.9","23.0","62.2","85.1","270.6","12.4","54.1","33.6","-0.72","-0.67","7.46","1.72","14.15","13.93","14.36","0.44","39.11","-0.22","1.44","1.67","-0.22","1.61","1.83","3.89","1.51"
